 strap ˈstræp
 pending ˈpɛndɪŋ
 depend dɪˈpɛnd
 snack ˈsnæk
 adam ˈædəm
 accumulate əˈkjuːmjəˌleɪt
 tenth ˈtɛnθ
 rests ˈrɛsts
 fist ˈfɪst
 parts ˈpɑːrts
 zeal ˈziːl
 thrust ˈθrʌst
 band ˈbænd
 cars ˈkɑːrz, ˈkɑːz
 cart ˈkɑːrt
 sack ˈsæk
 argue ˈɑːrgjuː
 forge ˈfɔrdʒ
 rancher ˈræntʃɝ
 pause ˈpɔz
 bang ˈbæŋ
 passes ˈpæsəz, ˈpæsɪz
 strength ˈstrɛŋkθ, ˈstrɛŋθ
 swim ˈswɪm
 rank ˈræŋk
 point ˈpɔɪnt
 party ˈpɑːrti
 porter ˈpɔrtɝ
 judges ˈdʒʌdʒɪz
 paws ˈpɔz
 cats ˈkæts
 wild ˈwaɪld
 end ˈɛnd
 sprang ˈspræŋ
 spread ˈsprɛd
 vowed ˈvaʊd
 friend ˈfrɛnd
 worth ˈwɝːθ
 lofty ˈlɔfti
 frenzy ˈfrɛnzi
 prince ˈprɪns
 amidst əˈmɪdst
 furs ˈfɝːz
 max ˈmæks
 wilder ˈwaɪldɝ
 pasted ˈpeɪstɪd
 acquaint əˈkweɪnt
 fiercely ˈfɪrsli
 deaths ˈdɛθs
 sleep ˈsliːp
 flat ˈflæt
 lapsed ˈlæpst
 length ˈlɛŋkθ, ˈlɛŋθ
 globe ˈgloʊb
 barn ˈbɑːrn
 passage ˈpæsədʒ, ˈpæsɪdʒ
 golden ˈgoʊldən
 amber ˈæmbɝ
 anger ˈæŋgɝ
 equal ˈiːkwəl
 nerve ˈnɝːv
 asses ˈæsəz
 economy ɪˈkɑːnəmi, iːˈkɑːnəmi
 parted ˈpɑːrtəd, ˈpɑːrtɪd
 stack ˈstæk
 rack ˈræk
 crept ˈkrɛpt
 draft ˈdræft
 desk ˈdɛsk
 pastes ˈpeɪsts
 worthy ˈwɝːði
 twitch ˈtwɪtʃ
 curb ˈkɝːb
 spell ˈspɛl
 lamp ˈlæmp
 allowed əˈlaʊd
 ant ˈænt
 rage ˈreɪdʒ
 require ˌriːˈkwaɪɝ, riːˈkwaɪr, rɪˈkwaɪɝ
 verge ˈvɝːdʒ
 pans ˈpænz
 filth ˈfɪlθ
 sphere sˈfɪr
 eggs ˈɛgz
 esquire ˈɛˌskwaɪr
 school ˈskuːl
 moist ˈmɔɪst
 range ˈreɪndʒ
 harp ˈhɑːrp
 ragged ˈrægəd
 acted ˈæktɪd
 freight ˈfreɪt
 pansies ˈpænziːz
 orb ˈɔrb
 lumber ˈlʌmbɝ
 went ˈwɛnt
 adopts əˈdɑːpts
 found ˈfaʊnd
 swum ˈswʌm
 harsh ˈhɑːrʃ
 broad ˈbrɔd
 wolf ˈwʊlf
 gold ˈgoʊld
 on ˈɑːn, ˈɔn
 riot ˈraɪət
 trickster ˈtrɪkstɝ
 sued ˈsuːd
 depth ˈdɛpθ
 gray ˈgreɪ
 build ˈbɪld
 felt ˈfɛlt
 dense ˈdɛns
 part ˈpɑːrt
 squash ˈskwɑːʃ
 coffin ˈkɔfɪn
 chalk ˈtʃɑːk, ˈtʃɔk
 bored ˈbɔrd
 chamber ˈtʃeɪmbɝ
 equip ɪˈkwɪp
 quell ˈkwɛl
 rocked ˈrɑːkt
 muller ˈmʌlɝ
 aims ˈeɪmz
 fears ˈfɪrz
 shred ˈʃrɛd
 capped ˈkæpt
 bronze ˈbrɑːnz
 nails ˈneɪlz
 loaded ˈloʊdəd, ˈloʊdɪd
 want ˈwɑːnt, ˈwɔnt
 family ˈfæməli, ˈfæmli
 praise ˈpreɪz
 aloud əˈlaʊd
 sketch ˈskɛtʃ
 fierce ˈfɪrs
 left ˈlɛft
 dance ˈdæns
 grey ˈgreɪ
 heard ˈhɝːd
 cast ˈkæst
 potato pəˈteɪˌtoʊ
 built ˈbɪlt
 gallop ˈgæləp
 earth ˈɝːθ
 ladies ˈleɪdiːz
 bag ˈbæg
 raise ˈreɪz
 henry ˈhɛnri
 board ˈbɔrd
 lads ˈlædz
 grip ˈgrɪp
 rot ˈrɑːt
 robbed ˈrɑːbd
 laughed ˈlæft
 laughs ˈlæfs
 dwell ˈdwɛl
 feared ˈfɪrd
 peril ˈpɛrəl
 pearl ˈpɝːl
 longing ˈlɔŋɪŋ
 arrogant ˈɛrəgənt
 danced ˈdænst
 asks ˈæsks
 pull ˈpʊl
 baron ˈbærən, ˈbɛrən
 ban ˈbæn
 cost ˈkɑːst, ˈkɔst
 marries ˈmɛriːz
 pansy ˈpænzi
 sins ˈsɪnz
 border ˈbɔrdɝ
 aunt ˈænt, ˈɔnt
 adopted əˈdɑːptəd
 loves ˈlʌvz
 close ˈkloʊs, ˈkloʊz
 squint ˈskwɪnt
 paced ˈpeɪst
 broke ˈbroʊk
 blues ˈbluːz
 dens ˈdɛnz
 tract ˈtrækt
 notice ˈnoʊtəs, ˈnoʊtɪs
 amateur ˈæməˌtʃɝː, ˈæməˌtɝː
 twice ˈtwaɪs
 pal ˈpæl
 lucid ˈluːsɪd
 tank ˈtæŋk
 minister ˈmɪnəstɝ, ˈmɪnɪstɝ
 rates ˈreɪts
 fees ˈfiːz
 width ˈwɪdθ
 cows ˈkaʊz
 land ˈlænd
 assess əˈsɛs
 docks ˈdɑːks
 pas ˈpɑːz
 lied ˈlaɪd
 spencer ˈspɛnsɝ
 lang ˈlæŋ
 parties ˈpɑːrtiːz
 towed ˈtoʊd
 ashen ˈæʃən
 emptied ˈɛmptiːd, ˈɛmtiːd
 earn ˈɝːn
 captain ˈkæptən
 lag ˈlæg
 empty ˈɛmpti, ˈɛmti
 urn ˈɝːn
 paw ˈpɔ
 empire ˈɛmpaɪɝ
 answer ˈænsɝ
 raised ˈreɪzd
 ignore ˌɪgˈnɔr
 quart ˈkwɔrt
 bunch ˈbʌntʃ
 skill ˈskɪl
 quack ˈkwæk
 french ˈfrɛntʃ
 clothes ˈkloʊðz, ˈkloʊz
 pauses ˈpɔzəz, ˈpɔzɪz
 acts ˈækts, ˈæks
 caddy ˈkædi
 raced ˈreɪst
 mars ˈmɑːrz
 robs ˈrɑːbz
 magazine ˈmægəˌziːn
 lies ˈlaɪz
 trip ˈtrɪp
 barren ˈbærən, ˈbɛrən
 wright ˈraɪt
 pool ˈpuːl
 empties ˈɛmptiːz, ˈɛmtiːz
 brethren ˈbrɛðrən
 israel ˈɪzriːəl, ˈɪzreɪl
 remnant ˈrɛmnənt
 toad ˈtoʊd
 shorten ˈʃɔrtən
 scenery ˈsiːnɝi
 card ˈkɑːrd
 dazzle ˈdæzəl
 cant ˈkænt
 laps ˈlæps
 raises ˈreɪzəz, ˈreɪzɪz
 volume ˈvɑːljuːm
 tack ˈtæk
 rays ˈreɪz
 filthy ˈfɪlθi
 thorp ˈθɔrp
 cusp ˈkʌsp
 passed ˈpæst
 kidney ˈkɪdni
 oppose əˈpoʊz
 wrought ˈrɔt
 ass ˈæs
 blank ˈblæŋk
 caps ˈkæps
 finish ˈfɪnɪʃ
 penned ˈpɛnd
 past ˈpæst
 smear ˈsmɪr
 rump ˈrʌmp
 eloquent ˈɛləkwənt
