loaf loʊf
bone boʊn
doubt daʊt
jerk dʒɝːk
theorem θɪrəm
odd ɑːd
hat hæt
guess gɛs
teeth tiːθ
read rɛd,
type taɪp
inn ɪn
howl haʊl
reader riːdɝ
man mæn
love lʌv
ire aɪr
at æt
off ɔf
tune tuːn
boyish bɔɪɪʃ
fur fɝː
out aʊt
area ɛriːə
money mʌni
boy bɔɪ
own oʊn
death dɛθ
rear rɪr
vowel vaʊəl
cod kɑːd,
ice aɪs
dame deɪm
valley væli
men mɛn
leave liːv
rate reɪt
bun bʌn
et ɛt
fuel fjuːəl,
race reɪs
refer əˈfɝː,
die daɪ
boar bɔr
rough rʌf
road roʊd
use juːs,
ape eɪp
dome doʊm
back bæk
side saɪd
iota aɪˈoʊtə
curse kɝːs
soil sɔɪl
mine maɪn
degree ɪˈgriː
life laɪf
rid rɪd
heat hiːt
sure ʃʊr
dip dɪp
bull bʊl
cow kaʊ
cure kjʊr
foul faʊl
pitch pɪtʃ
eat iːt
dash dæʃ
crate kreɪt
debt dɛt
kiss kɪs
doom duːm
cute kjuːt
cough kɑːf,
arm ɑːrm
pate peɪt
loose luːs
egg ɛg
violate vaɪəleɪt
pace peɪs
door dɔr
on ɑːn,
riot raɪət
cup kʌp
rain reɪn
or ɔr,
cut kʌt
itch ɪtʃ
rod rɑːd
join dʒɔɪn
journal dʒɝːnəl
free friː
coop kuːp
happy hæpi
oath oʊθ
trouble trʌbəl
neck nɛk
fee fiː
aid eɪd
due duː,
messiah əˈsaɪə
neat niːt
fat fæt
edge ɛdʒ
muse mjuːz
shed ʃɛd
raise reɪz
boon buːn
nod nɑːd
cheap tʃiːp
hearse hɝːs
up ʌp
check tʃɛk
code koʊd
period pɪriːəd
poem poʊəm
alphabet ælfəˌbɛt
ban bæn
urge ɝːdʒ
roof ruːf,
ready rɛdi
naive naɪˈiːv
verse vɝːs
thick θɪk
sour saʊɝ,
idle aɪdəl
peach piːtʃ
note noʊt
pair pɛr
tree triː
pal pæl
oil ɔɪl
cheer tʃɪr
dead dɛd
ebb ɛb
dole doʊl
tray treɪ
catch kætʃ
ooze uːz
pure pjʊr
live laɪv,
utter ʌtɝ
ben bɛn
calf kæf
genuine dʒɛnjuːən,
fir fɝː
pat pæt
gee dʒiː
doll dɑːl
paw pɔ
chip tʃɪp
sick sɪk
gull gʌl
big bɪg
train treɪn
key kiː
each iːtʃ
dear dɪr
foe foʊ
ripe raɪp
move muːv
data deɪtə,
mania meɪniːə
pa pɑː
eight eɪt
ruin ruːən,
choice tʃɔɪs
date deɪt
per pɝː
pet pɛt
mouse maʊs
tore tɔr
huge hjuːdʒ,
hose hoʊz
pool puːl
car kɑːr
hoot huːt
leg lɛg
cat kæt
care kɛr
dazzle dæzəl
boa boʊə
void vɔɪd
add æd
deep diːp
pile paɪl
kneel niːl
poor puːr
lath læθ
pose poʊz
idea ɪˈdiːə
ass æs
outer aʊtɝ
glad glæd
john dʒɑːn
gin dʒɪn
fair fɛr
fame feɪm
ill ɪl
seek siːk
isle aɪl
blot blɑːt
pill pɪl
royal rɔɪəl
mad ***NOT FOUND***
